40.8,43.2,74.0,156.4,230.4,2.77,0.33,1.23,46,56,78,166,244,2.96,0.39,1.36,38,34,68,148,218,2.53,0.28,1.17,10
40.8,57.2,79.6,164.0,243.6,2.95,0.4,1.28,44,66,86,178,264,3.62,0.42,1.39,38,46,74,146,228,2.55,0.35,1.22,10
41.2,64.4,75.6,167.2,242.8,3.43,0.4,1.3,44,88,84,202,280,4.34,0.52,1.44,38,34,64,134,198,2.29,0.3,1.12,10
44.4,44.4,81.6,158.0,239.6,2.69,0.34,1.37,54,60,102,182,284,3.89,0.38,1.71,38,34,70,150,220,2.26,0.29,1.18,10
45.6,91.2,166.8,170.0,336.8,1.57,0.53,1.05,68,194,296,224,520,2.75,0.88,1.32,32,30,76,146,228,0.29,0.29,0.63,10
41.2,44.8,72.8,148.4,221.2,2.71,0.34,1.31,42,58,88,172,260,3.21,0.4,1.51,38,32,62,114,180,2.29,0.28,1.17,10
42.8,37.6,76.4,148.0,224.4,2.45,0.32,1.26,46,48,84,166,242,2.77,0.38,1.46,40,26,70,124,194,2.18,0.27,1.14,10
42.4,40.8,80.8,155.6,236.4,2.62,0.34,1.32,52,60,86,168,248,2.93,0.43,1.51,38,24,76,140,220,2.3,0.29,1.17,10
39.6,68.8,89.6,185.6,275.2,2.98,0.43,1.24,48,98,112,208,320,3.39,0.52,1.58,30,58,74,170,246,2.77,0.39,0.96,10
46.0,50.8,85.6,174.4,260.0,2.84,0.34,1.3,54,96,98,198,296,3.23,0.49,1.5,40,34,78,152,238,2.18,0.29,1.21,10
40.0,40.0,76.4,148.4,224.8,2.76,0.34,1.36,44,54,84,154,238,3.19,0.41,1.54,38,30,68,140,210,2.38,0.28,1.18,10
41.6,38.4,79.2,160.0,239.2,2.7,0.32,1.32,46,50,84,174,258,3.01,0.37,1.42,36,28,76,148,226,2.35,0.26,1.21,10
40.0,50.4,79.2,164.8,244.0,2.93,0.36,1.29,44,92,86,200,280,3.83,0.47,1.4,38,26,72,142,220,2.53,0.28,1.2,10
39.2,36.0,72.4,121.6,194.0,2.43,0.36,1.78,48,44,82,142,220,3.59,0.38,2.04,26,28,52,104,178,1.79,0.33,1.46,2
38.4,35.2,71.6,100.8,172.4,2.69,0.4,2.2,46,44,82,108,190,3.89,0.46,3.13,32,28,66,82,148,1.9,0.31,1.72,2
38.0,41.2,80.8,120.0,200.8,2.26,0.42,1.8,42,52,102,138,240,2.72,0.47,2.1,34,34,70,110,182,1.92,0.36,1.54,2
40.4,37.2,76.0,105.6,181.6,2.23,0.4,1.9,48,44,92,120,202,2.51,0.44,2.06,34,32,68,92,160,2.01,0.34,1.68,2
36.0,36.8,66.8,93.6,160.4,2.63,0.42,2.3,42,48,78,114,188,3.63,0.52,3.42,28,26,56,74,130,2.2,0.34,1.78,2
