A_pos_peak_time,MAX_pos_peak_time,MIN_pos_peak_time,A_neg_peak_time,MAX_neg_peak_time,MIN_neg_peak_time,A_close time,MAX_close time,MIN_close time,A_open time,MAX_open time,MIN_open time,A_blink time,MAX_blink time,MIN_blink time,A_peak ratio,MAX_peak ratio,MIN_peak ratio,A_peak dist ratio,MAX_peak dist ratio,MIN_peak dist ratio,A_area ratio,MAX_area ratio,MIN_area ratio,Label
40.0,46.0,71.6,143.2,214.8,2.54,0.36,1.31,44.0,64.0,80.0,166.0,246.0,2.88,0.43,1.46,34.0,26.0,60.0,120.0,180.0,2.16,0.29,1.16,9.0
38.8,32.8,68.8,136.8,205.6,2.55,0.31,1.29,44.0,44.0,70.0,146.0,216.0,3.0,0.41,1.51,32.0,28.0,66.0,128.0,198.0,2.28,0.25,1.19,9.0
41.2,45.6,72.4,152.4,224.8,2.64,0.34,1.25,44.0,64.0,86.0,176.0,262.0,3.26,0.41,1.34,38.0,30.0,66.0,132.0,200.0,2.12,0.28,1.18,9.0
42.0,40.8,70.0,149.6,219.6,2.97,0.31,1.28,46.0,62.0,78.0,160.0,234.0,3.74,0.4,1.44,38.0,30.0,62.0,134.0,198.0,2.47,0.27,1.15,9.0
40.8,39.6,73.6,154.4,228.0,2.85,0.32,1.27,44.0,50.0,82.0,176.0,258.0,2.99,0.35,1.42,34.0,34.0,62.0,132.0,206.0,2.66,0.28,1.19,9.0
40.8,43.2,74.0,156.4,230.4,2.77,0.33,1.23,46.0,56.0,78.0,166.0,244.0,2.96,0.39,1.36,38.0,34.0,68.0,148.0,218.0,2.53,0.28,1.17,9.0
40.8,57.2,79.6,164.0,243.6,2.95,0.4,1.28,44.0,66.0,86.0,178.0,264.0,3.62,0.42,1.39,38.0,46.0,74.0,146.0,228.0,2.55,0.35,1.22,9.0
41.2,64.4,75.6,167.2,242.8,3.43,0.4,1.3,44.0,88.0,84.0,202.0,280.0,4.34,0.52,1.44,38.0,34.0,64.0,134.0,198.0,2.29,0.3,1.12,9.0
44.4,44.4,81.6,158.0,239.6,2.69,0.34,1.37,54.0,60.0,102.0,182.0,284.0,3.89,0.38,1.71,38.0,34.0,70.0,150.0,220.0,2.26,0.29,1.18,9.0
45.6,91.2,166.8,170.0,336.8,1.57,0.53,1.05,68.0,194.0,296.0,224.0,520.0,2.75,0.88,1.32,32.0,30.0,76.0,146.0,228.0,0.29,0.29,0.63,9.0
41.2,44.8,72.8,148.4,221.2,2.71,0.34,1.31,42.0,58.0,88.0,172.0,260.0,3.21,0.4,1.51,38.0,32.0,62.0,114.0,180.0,2.29,0.28,1.17,9.0
42.8,37.6,76.4,148.0,224.4,2.45,0.32,1.26,46.0,48.0,84.0,166.0,242.0,2.77,0.38,1.46,40.0,26.0,70.0,124.0,194.0,2.18,0.27,1.14,9.0
42.4,40.8,80.8,155.6,236.4,2.62,0.34,1.32,52.0,60.0,86.0,168.0,248.0,2.93,0.43,1.51,38.0,24.0,76.0,140.0,220.0,2.3,0.29,1.17,9.0
39.6,68.8,89.6,185.6,275.2,2.98,0.43,1.24,48.0,98.0,112.0,208.0,320.0,3.39,0.52,1.58,30.0,58.0,74.0,170.0,246.0,2.77,0.39,0.96,9.0
46.0,50.8,85.6,174.4,260.0,2.84,0.34,1.3,54.0,96.0,98.0,198.0,296.0,3.23,0.49,1.5,40.0,34.0,78.0,152.0,238.0,2.18,0.29,1.21,9.0
40.0,40.0,76.4,148.4,224.8,2.76,0.34,1.36,44.0,54.0,84.0,154.0,238.0,3.19,0.41,1.54,38.0,30.0,68.0,140.0,210.0,2.38,0.28,1.18,9.0
41.6,38.4,79.2,160.0,239.2,2.7,0.32,1.32,46.0,50.0,84.0,174.0,258.0,3.01,0.37,1.42,36.0,28.0,76.0,148.0,226.0,2.35,0.26,1.21,9.0
